community_area,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Brighton Park,Pizza Place,Mexican Restaurant,Burger Joint,Bus Station,Sandwich Place,Taco Place,Park,Grocery Store,Breakfast Spot,Café
Burnside,Fast Food Restaurant,Intersection,Train Station,Park,Yoga Studio,Donut Shop,Flower Shop,Floating Market,Fish Market,Fish & Chips Shop
Calumet Heights,Home Service,Wings Joint,Museum,Gym / Fitness Center,Deli / Bodega,Donut Shop,Floating Market,Fish Market,Fish & Chips Shop,Field
Chatham,Boutique,Park,Food,Bar,Ice Cream Shop,Fried Chicken Joint,Donut Shop,Lounge,Discount Store,Fast Food Restaurant
Chicago Lawn,American Restaurant,Fish & Chips Shop,Intersection,Fast Food Restaurant,Yoga Studio,Electronics Store,Food,Flower Shop,Floating Market,Fish Market
Clearing,Sports Bar,Currency Exchange,Nightclub,Discount Store,Park,Bar,Deli / Bodega,Pizza Place,Airport,Heliport
Douglas,Fast Food Restaurant,Pizza Place,Sandwich Place,Fried Chicken Joint,Historic Site,Bakery,Convenience Store,Park,Cosmetics Shop,Currency Exchange
Dunning,Fast Food Restaurant,Hot Dog Joint,Tattoo Parlor,Ice Cream Shop,Japanese Restaurant,Cosmetics Shop,Convenience Store,Pizza Place,Cocktail Bar,Record Shop
East Garfield Park,Seafood Restaurant,Pet Service,Burger Joint,Bus Line,Bakery,Diner,Convenience Store,Pharmacy,Deli / Bodega,Farm
East Side,Mexican Restaurant,Bar,Bakery,Yoga Studio,Eye Doctor,Food & Drink Shop,Food,Flower Shop,Floating Market,Fish Market
Edgewater,Mexican Restaurant,Mediterranean Restaurant,Pharmacy,Discount Store,Beach,Ethiopian Restaurant,Sandwich Place,Bank,Bar,Convenience Store
