community_area,zip_codes,population,latitude,longitude,community_area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment
East Side,60617,23784,41.7000°N,87.5600°W,East Side,17.7,85.8,6.4,73.3,11.0,53.0,10.7,15.3,182.9,12.9,73.9,10.1,3.7,45.9,26.2,33.3,98.6,5.2,18.7,8.3,42.5,35.5,15347,14.5
West Pullman,"60628, 60643","27,982",41.6800°N,87.6300°W,West Pullman,15.3,71.2,14.9,71.3,14.4,67.8,43.9,20.3,263.6,32.6,83.4,46.5,11.9,78.6,62.9,63.9,1673.4,9.2,24.3,3.3,42.2,22.6,16228,17.0
Riverdale,"60628, 60633, 60827","7,262",41.6600°N,87.6100°W,Riverdale,12.5,46.1,15.3,74.1,16.5,64.5,33.0,25.0,258.3,39.4,115.9,32.8,8.7,86.1,42.5,80.6,1397.9,5.8,61.4,5.1,50.2,24.6,8535,26.4
Hegewisch,60633,"8,985",41.6600°N,87.5500°W,Hegewisch,13.7,73.2,7.7,66.9,13.1,47.1,6.9,20.0,210.0,16.7,80.0,13.4,8.4,57.9,28.6,47.1,.,2.1,12.1,4.4,41.6,17.9,22561,9.6
Garfield Ridge,"60629, 60632, 60638",36396,41.8167°N,87.7600°W,Garfield Ridge,13.4,69.0,8.0,81.7,9.5,33.7,9.9,31.0,231.9,24.6,80.3,9.2,4.5,59.2,30.9,42.2,101.8,3.5,9.0,2.6,39.5,19.4,24684,8.1
Archer Heights,60632,13055,41.8100°N,87.7300°W,Archer Heights,18.1,80.0,8.7,74.3,10.0,50.3,16.6,25.2,166.3,9.0,67.7,15.4,5.2,49.6,20.5,41.8,.,1.5,13.0,8.5,40.5,36.4,16145,14.2
Brighton Park,60632,"45,031",41.8200°N,87.7000°W,Brighton Park,20.6,90.6,7.2,82.7,8.3,58.1,11.1,26.8,139.1,12.8,69.7,10.6,5.9,27.7,15.1,38.3,52.7,11.5,23.0,13.2,39.8,48.2,13138,11.2
McKinley Park,"60608, 60609",15920,41.830°N,87.670°W,McKinley Park,16.7,73.9,7.3,80.5,9.9,47.9,5.1,32.7,148.4,14.2,61.4,6.5,7.3,38.3,0.0,51.7,.,11.5,16.1,6.9,33.7,31.8,17577,11.9
Bridgeport,"60608, 60609, 60616",33828,41.83750°N,87.64750°W,Bridgeport,11.7,51.7,8.0,80.3,11.4,28.4,4.9,16.5,168.9,16.1,49.8,4.5,8.0,54.4,15.8,40.1,65,9.9,17.3,4.8,32.3,25.6,24969,11.2
New City Back of the Yards/Canaryville,60609,39463,41.8100°N,87.6600°W,New City,21.4,93.4,11.8,75.9,12.2,94.3,26.6,23.6,235.2,29.2,83.7,24.6,7.9,69.4,40.7,50.2,579.7,9.3,30.6,12.2,42.0,42.4,12524,17.4
